Rank,Win.Points,Loss.Points,n.win,n.loss,total
1,72,62,404,368,772
2,99,73,349,423,772
3,87,54,431,300,731
4,68,62,362,368,730
5,83,55,427,298,725
6,84,55,420,298,718
7,101,89,329,377,706
8,87,50,431,249,680
9,105,62,310,368,678
10,104,64,338,340,678
11,63,60,343,328,671
12,87,49,431,237,668
13,81,59,390,276,666
14,76,50,415,249,664
15,108,74,262,399,661
16,73,49,423,237,660
17,108,70,262,397,659
18,111,94,249,401,650
19,80,48,422,227,649
20,110,98,290,353,643
21,106,64,296,340,636
22,116,78,212,422,634
23,79,43,453,171,624
24,87,44,431,193,624
25,93,50,375,249,624
26,109,62,256,368,624
27,115,76,208,415,623
28,107,64,282,340,622
29,68,53,362,258,620
30,77,48,392,227,619
31,76,45,415,202,617
32,73,44,423,193,616
33,110,61,290,326,616
34,112,89,237,377,614
35,100,50,357,249,606
36,79,42,453,152,605
37,62,52,368,237,605
38,108,63,262,343,605
39,71,46,403,201,604
40,82,47,420,184,604
41,118,71,199,403,602
42,118,85,199,401,600
43,68,52,362,237,599
44,55,54,298,300,598
45,115,81,208,390,598
46,94,44,401,193,594
47,106,55,296,298,594
48,81,45,390,202,592
49,82,43,420,171,591
50,98,52,353,237,590
51,64,50,340,249,589
52,111,64,249,340,589
53,121,73,166,423,589
54,79,40,453,135,588
55,112,66,237,351,588
56,79,38,453,134,587
57,128,79,134,453,587
58,99,49,349,237,586
59,114,77,194,392,586
60,75,41,425,159,584
61,90,45,382,202,584
62,81,44,390,193,583
63,127,87,152,431,583
64,73,41,423,159,582
65,117,93,207,375,582
66,63,52,343,237,580
67,84,41,420,159,579
68,124,78,154,422,576
69,73,42,423,152,575
70,127,80,152,422,574
71,123,85,173,401,574
72,123,94,173,401,574
73,123,74,173,399,572
74,127,84,152,420,572
75,108,105,262,310,572
76,74,43,399,171,570
77,123,70,173,397,570
78,57,53,309,258,567
79,119,65,211,356,567
80,87,40,431,135,566
81,102,59,290,276,566
82,115,96,208,358,566
83,121,74,166,399,565
84,131,79,110,453,563
85,80,39,422,138,560
86,94,41,401,159,560
87,91,45,358,202,560
88,113,61,234,326,560
89,118,69,199,360,559
90,82,39,420,138,558
91,87,37,431,126,557
92,73,38,423,134,557
93,80,40,422,135,557
94,128,73,134,423,557
95,133,87,126,431,557
96,98,45,353,202,555
97,120,89,178,377,555
98,125,90,173,382,555
99,87,36,431,123,554
100,79,34,453,100,553
101,94,42,401,152,553
102,90,43,382,171,553
103,127,85,152,401,553
104,103,50,303,249,552
105,124,67,154,397,551
106,133,75,126,425,551
107,83,36,427,123,550
108,99,46,349,201,550
109,114,65,194,356,550
110,76,38,415,134,549
111,105,49,310,237,547
112,105,52,310,237,547
113,84,37,420,126,546
114,133,84,126,420,546
115,132,87,115,431,546
116,80,36,422,123,545
117,124,81,154,390,544
118,119,97,211,333,544
119,82,36,420,123,543
120,81,42,390,152,542
121,91,47,358,184,542
122,126,81,152,390,542
123,90,41,382,159,541
124,103,52,303,237,540
125,94,39,401,138,539
126,110,50,290,249,539
127,129,67,142,397,539
128,111,102,249,290,539
129,76,36,415,123,538
130,112,54,237,300,537
131,117,56,207,329,536
132,115,60,208,328,536
133,112,55,237,298,535
134,122,65,179,356,535
135,90,42,382,152,534
136,97,46,333,201,534
137,113,54,234,300,534
138,129,77,142,392,534
139,92,41,374,159,533
140,68,43,362,171,533
141,131,73,110,423,533
142,70,40,397,135,532
143,109,59,256,276,532
144,131,80,110,422,532
145,104,44,338,193,531
146,128,70,134,397,531
147,139,79,78,453,531
148,123,91,173,358,531
149,125,91,173,358,531
150,125,96,173,358,531
151,87,35,431,99,530
152,132,76,115,415,530
153,131,84,110,420,530
154,123,100,173,357,530
155,133,71,126,403,529
156,134,73,106,423,529
157,126,89,152,377,529
158,127,89,152,377,529
159,81,39,390,138,528
160,134,80,106,422,528
161,118,101,199,329,528
162,79,29,453,74,527
163,87,33,431,96,527
164,62,41,368,159,527
165,102,52,290,237,527
166,120,99,178,349,527
167,92,42,374,152,526
168,97,44,333,193,526
169,130,80,104,422,526
170,126,92,152,374,526
171,123,98,173,353,526
172,74,37,399,126,525
173,81,40,390,135,525
174,111,59,249,276,525
175,85,36,401,123,524
176,64,47,340,184,524
177,123,66,173,351,524
178,125,66,173,351,524
179,129,88,142,382,524
180,70,37,397,126,523
181,133,67,126,397,523
182,138,79,70,453,523
183,121,86,166,357,523
184,74,36,399,123,522
185,121,65,166,356,522
186,116,105,212,310,522
187,75,33,425,96,521
188,80,35,422,99,521
189,116,57,212,309,521
190,84,34,420,100,520
191,88,39,382,138,520
192,90,39,382,138,520
193,127,62,152,368,520
194,109,51,256,263,519
195,132,72,115,404,519
196,135,73,96,423,519
197,121,98,166,353,519
198,80,33,422,96,518
199,132,71,115,403,518
200,87,30,431,86,517
201,121,66,166,351,517
202,79,27,453,63,516
203,84,33,420,96,516
204,125,63,173,343,516
205,133,81,126,390,516
206,137,82,96,420,516
207,128,88,134,382,516
208,76,34,415,100,515
209,77,36,392,123,515
210,136,80,93,422,515
211,126,68,152,362,514
212,131,72,110,404,514
213,142,79,61,453,514
214,81,36,390,123,513
215,93,39,375,138,513
216,59,52,276,237,513
217,112,59,237,276,513
218,123,64,173,340,513
219,136,82,93,420,513
220,79,26,453,59,512
221,75,31,425,87,512
222,92,39,374,138,512
223,116,54,212,300,512
224,64,43,340,171,511
225,137,76,96,415,511
226,131,85,110,401,511
227,124,86,154,357,511
228,91,42,358,152,510
229,96,42,358,152,510
230,73,30,423,86,509
231,93,38,375,134,509
232,121,63,166,343,509
233,118,105,199,310,509
234,78,30,422,86,508
235,80,30,422,86,508
236,90,37,382,126,508
237,92,38,374,134,508
238,130,72,104,404,508
239,122,60,179,328,507
240,130,71,104,403,507
241,119,106,211,296,507
242,79,24,453,53,506
243,82,30,420,86,506
244,120,60,178,328,506
245,125,97,173,333,506
246,79,25,453,52,505
247,87,29,431,74,505
248,88,36,382,123,505
249,140,73,82,423,505
250,130,94,104,401,505
251,111,109,249,256,505
252,58,44,311,193,504
253,120,61,178,326,504
254,140,80,82,422,504
255,115,106,208,296,504
256,87,32,431,72,503
257,72,35,404,99,503
258,89,37,377,126,503
259,105,44,310,193,503
260,76,31,415,87,502
261,63,41,343,159,502
262,128,62,134,368,502
263,131,77,110,392,502
264,116,102,212,290,502
265,94,34,401,100,501
266,125,60,173,328,501
267,155,79,48,453,501
268,156,79,48,453,501
269,89,36,377,123,500
270,101,43,329,171,500
271,139,80,78,422,500
272,131,81,110,390,500
273,75,29,425,74,499
274,71,33,403,96,499
275,137,71,96,403,499
276,121,97,166,333,499
277,69,39,360,138,498
278,111,50,249,249,498
279,139,84,78,420,498
280,115,102,208,290,498
281,75,32,425,72,497
282,85,33,401,96,497
283,94,33,401,96,497
284,106,46,296,201,497
285,136,72,93,404,497
286,141,82,77,420,497
287,78,29,422,74,496
288,80,29,422,74,496
289,70,35,397,99,496
290,68,38,362,134,496
291,96,39,358,138,496
292,103,44,303,193,496
293,136,71,93,403,496
294,130,77,104,392,496
295,83,28,427,68,495
296,73,32,423,72,495
297,126,63,152,343,495
298,138,75,70,425,495
299,151,87,64,431,495
300,82,29,420,74,494
301,84,29,420,74,494
302,80,32,422,72,494
303,62,37,368,126,494
304,105,47,310,184,494
305,130,81,104,390,494
306,136,85,93,401,494
307,116,107,212,282,494
308,79,22,453,40,493
309,75,28,425,68,493
310,129,66,142,351,493
311,145,75,68,425,493
312,143,80,71,422,493
313,84,32,420,72,492
314,96,38,358,134,492
315,100,40,357,135,492
316,102,45,290,202,492
317,110,45,290,202,492
318,113,53,234,258,492
319,114,55,194,298,492
320,136,74,93,399,492
321,141,76,77,415,492
322,138,78,70,422,492
323,157,79,39,453,492
324,159,79,39,453,492
325,138,80,70,422,492
326,142,87,61,431,492
327,131,90,110,382,492
328,128,96,134,358,492
329,73,28,423,68,491
330,72,31,404,87,491
331,77,35,392,99,491
332,86,38,357,134,491
333,143,82,71,420,491
334,143,84,71,420,491
335,78,28,422,68,490
336,72,30,404,86,490
337,71,31,403,87,490
338,65,38,356,134,490
339,136,70,93,397,490
340,144,73,67,423,490
341,149,83,63,427,490
342,146,87,59,431,490
343,144,78,67,422,489
344,144,80,67,422,489
345,75,27,425,63,488
346,82,28,420,68,488
347,85,31,401,87,488
348,98,40,353,135,488
349,149,75,63,425,488
350,145,82,68,420,488
351,134,88,106,382,488
352,85,30,401,86,487
353,94,30,401,86,487
354,76,32,415,72,487
355,103,47,303,184,487
356,151,73,64,423,487
357,131,89,110,377,487
358,73,27,423,63,486
359,74,31,399,87,486
360,81,33,390,96,486
361,66,40,351,135,486
362,133,69,126,360,486
363,152,79,33,453,486
364,137,81,96,390,486
365,80,27,422,63,485
366,68,36,362,123,485
367,61,41,326,159,485
368,129,63,142,343,485
369,136,77,93,392,485
370,149,78,63,422,485
371,95,40,349,135,484
372,99,40,349,135,484
373,146,75,59,425,484
374,151,82,64,420,484
375,114,102,194,290,484
376,166,79,31,453,484
377,79,18,453,30,483
378,86,37,357,126,483
379,95,38,349,134,483
380,99,38,349,134,483
381,102,44,290,193,483
382,110,44,290,193,483
383,109,48,256,227,483
384,145,76,68,415,483
385,142,80,61,422,483
386,128,95,134,349,483
387,79,21,453,29,482
388,88,34,382,100,482
389,90,34,382,100,482
390,129,64,142,340,482
391,139,72,78,404,482
392,146,73,59,423,482
393,147,87,51,431,482
394,90,35,382,99,481
395,91,36,358,123,481
396,63,39,343,138,481
397,56,42,329,152,481
398,126,56,152,329,481
399,146,80,59,422,481
400,142,82,61,420,481
401,154,87,50,431,481
402,134,93,106,375,481
403,120,103,178,303,481
404,165,79,28,453,481
405,83,24,427,53,480
406,86,36,357,123,480
407,100,36,357,123,480
408,60,42,328,152,480
409,106,47,296,184,480
410,127,60,152,328,480
411,153,87,49,431,480
412,98,37,353,126,479
413,158,79,26,453,479
414,139,85,78,401,479
415,156,87,48,431,479
416,130,93,104,375,479
417,87,23,431,47,478
418,75,24,425,53,478
419,76,27,415,63,478
420,88,33,382,96,478
421,89,34,377,100,477
422,122,55,179,298,477
423,139,74,78,399,477
424,73,24,423,53,476
425,104,39,338,138,476
426,141,74,77,399,476
427,153,83,49,427,476
428,125,103,173,303,476
429,78,24,422,53,475
430,73,25,423,52,475
431,94,29,401,74,475
432,99,37,349,126,475
433,121,57,166,309,475
434,139,70,78,397,475
435,162,79,22,453,475
436,155,83,48,427,475
437,129,97,142,333,475
438,92,34,374,100,474
439,93,35,375,99,474
440,103,43,303,171,474
441,102,47,290,184,474
442,110,47,290,184,474
443,141,67,77,397,474
444,141,70,77,397,474
445,143,71,71,403,474
446,147,73,51,423,474
447,153,75,49,425,474
448,164,79,21,453,474
449,82,24,420,53,473
450,84,24,420,53,473
451,74,29,399,74,473
452,89,33,377,96,473
453,92,35,374,99,473
454,125,54,173,300,473
455,154,73,50,423,473
456,79,16,453,19,472
457,75,23,425,47,472
458,82,25,420,52,472
459,84,25,420,52,472
460,72,28,404,68,472
461,95,36,349,123,472
462,104,38,338,134,472
463,140,81,82,390,472
464,148,83,45,427,472
465,132,86,115,357,472
466,170,79,19,453,472
467,87,22,431,40,471
468,71,28,403,68,471
469,93,33,375,96,471
470,145,71,68,403,471
471,156,73,48,423,471
472,153,78,49,422,471
473,150,83,44,427,471
474,138,94,70,401,471
475,117,51,207,263,470
476,116,53,212,258,470
477,131,69,110,360,470
478,144,71,67,403,470
479,139,77,78,392,470
480,156,78,48,422,470
481,156,80,48,422,470
482,154,82,50,420,470
483,154,84,50,420,470
484,157,87,39,431,470
485,115,108,208,262,470
486,78,23,422,47,469
487,80,23,422,47,469
488,88,31,382,87,469
489,90,31,382,87,469
490,70,32,397,72,469
491,105,41,310,159,469
492,141,77,77,392,469
493,153,82,49,420,469
494,153,84,49,420,469
495,145,85,68,401,469
496,122,102,179,290,469
497,117,108,207,262,469
498,79,13,453,15,468
499,79,15,453,15,468
500,79,17,453,15,468
501,76,24,415,53,468
502,155,82,48,420,468
503,156,84,48,420,468
504,144,94,67,401,468
505,132,98,115,353,468
506,116,109,212,256,468
507,120,110,178,290,468
508,168,79,15,453,468
509,83,22,427,40,467
510,82,23,420,47,467
511,84,23,420,47,467
512,76,25,415,52,467
513,62,35,368,99,467
514,97,38,333,134,467
515,138,67,70,397,467
516,138,70,70,397,467
517,145,74,68,399,467
518,148,78,45,422,467
519,148,80,45,422,467
520,141,81,77,390,467
521,175,79,14,453,467
522,71,27,403,63,466
523,77,29,392,74,466
524,60,39,328,138,466
525,115,53,208,258,466
526,133,64,126,340,466
527,149,71,63,403,466
528,147,76,51,415,466
529,159,83,39,427,466
530,75,22,425,40,465
531,70,28,397,68,465
532,51,45,263,202,465
533,124,58,154,311,465
534,145,67,68,397,465
535,145,70,68,397,465
536,142,72,61,404,465
537,79,9,453,12,465
538,148,82,45,420,465
539,151,94,64,401,465
540,174,79,12,453,465
541,79,14,453,11,464
542,85,27,401,63,464
543,142,71,61,403,464
544,157,75,39,425,464
545,140,90,82,382,464
546,134,91,106,358,464
547,149,94,63,401,464
548,124,105,154,310,464
549,180,79,11,453,464
550,73,22,423,40,463
551,89,30,377,86,463
552,56,38,329,134,463
553,60,40,328,135,463
554,124,57,154,309,463
555,155,76,48,415,463
556,156,76,48,415,463
557,143,77,71,392,463
558,79,8,453,10,463
559,79,10,453,10,463
560,128,101,134,329,463
561,177,79,10,453,463
562,78,22,422,40,462
563,80,22,422,40,462
564,76,23,415,47,462
565,71,26,403,59,462
566,74,27,399,63,462
567,93,31,375,87,462
568,60,38,328,134,462
569,103,41,303,159,462
570,105,42,310,152,462
571,128,60,134,328,462
572,157,73,39,423,462
573,159,73,39,423,462
574,142,94,61,401,462
575,126,105,152,310,462
576,127,105,152,310,462
577,179,79,9,453,462
578,184,79,9,453,462
579,93,30,375,86,461
580,102,43,290,171,461
581,136,62,93,368,461
582,151,70,64,397,461
583,157,78,39,422,461
584,157,80,39,422,461
585,159,80,39,422,461
586,122,107,179,282,461
587,181,79,8,453,461
588,182,79,8,453,461
589,87,21,431,29,460
590,82,22,420,40,460
591,85,26,401,59,460
592,94,26,401,59,460
593,92,30,374,86,460
594,69,34,360,100,460
595,149,70,63,397,460
596,148,76,45,415,460
597,152,83,33,427,460
598,146,94,59,401,460
599,119,111,211,249,460
600,178,79,7,453,460
601,189,79,7,453,460
602,87,20,431,28,459
603,54,41,300,159,459
604,163,75,34,425,459
605,150,76,44,415,459
606,79,11,453,6,459
607,159,82,39,420,459
608,159,84,39,420,459
609,131,99,110,349,459
610,188,79,6,453,459
611,74,26,399,59,458
612,81,28,390,68,458
613,91,34,358,100,458
614,96,34,358,100,458
615,79,12,453,5,458
616,166,83,31,427,458
617,183,79,5,453,458
618,83,18,427,30,457
619,115,50,208,249,457
620,118,53,199,258,457
621,134,66,106,351,457
622,163,73,34,423,457
623,160,78,35,422,457
624,79,6,453,4,457
625,79,7,453,4,457
626,160,80,35,422,457
627,158,87,26,431,457
628,140,93,82,375,457
629,130,98,104,353,457
630,190,79,4,453,457
631,195,79,4,453,457
632,199,79,4,453,457
633,71,24,403,53,456
634,72,25,404,52,456
635,70,26,397,59,456
636,88,29,382,74,456
637,86,35,357,99,456
638,97,36,333,123,456
639,135,69,96,360,456
640,137,69,96,360,456
641,79,2,453,3,456
642,191,79,3,453,456
643,192,79,3,453,456
644,198,79,3,453,456
645,211,79,3,453,456
646,83,20,427,28,455
647,76,22,415,40,455
648,71,25,403,52,455
649,77,27,392,63,455
650,62,31,368,87,455
651,56,37,329,126,455
652,101,37,329,126,455
653,103,42,303,152,455
654,132,64,115,340,455
655,149,77,63,392,455
656,152,78,33,422,455
657,79,3,453,2,455
658,160,82,35,420,455
659,160,84,35,420,455
660,139,89,78,377,455
661,126,103,152,303,455
662,186,79,2,453,455
663,193,79,2,453,455
664,194,79,2,453,455
665,196,79,2,453,455
666,197,79,2,453,455
667,200,79,2,453,455
668,201,79,2,453,455
669,204,79,2,453,455
670,210,79,2,453,455
671,222,79,2,453,455
672,87,19,431,23,454
673,75,21,425,29,454
674,85,24,401,53,454
675,94,24,401,53,454
676,90,32,382,72,454
677,91,33,358,96,454
678,96,33,358,96,454
679,147,71,51,403,454
680,154,72,50,404,454
681,157,76,39,415,454
682,159,76,39,415,454
683,79,1,453,1,454
684,79,5,453,1,454
685,151,81,64,390,454
686,163,82,34,420,454
687,163,84,34,420,454
688,137,96,96,358,454
689,166,73,31,423,454
690,205,79,1,453,454
691,206,79,1,453,454
692,207,79,1,453,454
693,208,79,1,453,454
694,209,79,1,453,454
695,213,79,1,453,454
696,216,79,1,453,454
697,219,79,1,453,454
698,220,79,1,453,454
699,225,79,1,453,454
700,228,79,1,453,454
701,229,79,1,453,454
702,231,79,1,453,454
703,233,79,1,453,454
704,236,79,1,453,454
705,238,79,1,453,454
706,239,79,1,453,454
707,85,25,401,52,453
708,94,25,401,52,453
709,81,27,390,63,453
710,86,33,357,96,453
711,107,43,282,171,453
712,136,69,93,360,453
713,154,71,50,403,453
714,153,72,49,404,453
715,149,81,63,390,453
716,152,82,33,420,453
717,152,84,33,420,453
718,162,87,22,431,453
719,135,100,96,357,453
720,166,78,31,422,453
721,78,18,422,30,452
722,80,18,422,30,452
723,74,24,399,53,452
724,98,35,353,99,452
725,101,36,329,123,452
726,127,54,152,300,452
727,133,61,126,326,452
728,135,65,96,356,452
729,137,65,96,356,452
730,156,72,48,404,452
731,147,85,51,401,452
732,164,87,21,431,452
733,138,90,70,382,452
734,141,93,77,375,452
735,147,94,51,401,452
736,167,87,21,431,452
737,171,87,21,431,452
738,78,21,422,29,451
739,80,21,422,29,451
740,74,25,399,52,451
741,77,26,392,59,451
742,89,29,377,74,451
743,66,34,351,100,451
744,129,57,142,309,451
745,155,71,48,403,451
746,158,75,26,425,451
747,161,78,29,422,451
748,161,80,29,422,451
749,154,85,50,401,451
750,165,73,28,423,451
751,166,82,31,420,451
752,166,84,31,420,451
753,87,16,431,19,450
754,82,18,420,30,450
755,84,18,420,30,450
756,83,19,427,23,450
757,78,20,422,28,450
758,80,20,422,28,450
759,90,28,382,68,450
760,66,35,351,99,450
761,147,74,51,399,450
762,160,76,35,415,450
763,153,85,49,401,450
764,136,86,93,357,450
765,145,88,68,382,450
766,153,94,49,401,450
767,165,80,28,422,450
768,170,87,19,431,450
769,82,21,420,29,449
770,84,21,420,29,449
771,67,25,397,52,449
772,81,26,390,59,449
773,93,29,375,74,449
774,68,31,362,87,449
775,89,32,377,72,449
776,61,36,326,123,449
777,116,49,212,237,449
778,125,59,173,276,449
779,134,63,106,343,449
780,162,83,22,427,449
781,161,84,29,420,449
782,155,85,48,401,449
783,156,85,48,401,449
784,144,88,67,382,449
785,155,94,48,401,449
786,156,94,48,401,449
787,137,98,96,353,449
788,75,19,425,23,448
789,84,20,420,28,448
790,85,23,401,47,448
791,94,23,401,47,448
792,92,29,374,74,448
793,105,39,310,138,448
794,106,42,296,152,448
795,119,52,211,237,448
796,150,72,44,404,448
797,153,74,49,399,448
798,152,76,33,415,448
799,158,78,26,422,448
800,158,80,26,422,448
801,164,83,21,427,448
802,143,89,71,377,448
803,167,83,21,427,448
804,169,87,17,431,448
805,171,83,21,427,448
806,59,43,276,171,447
807,130,63,104,343,447
808,137,66,96,351,447
809,154,67,50,397,447
810,150,71,44,403,447
811,162,75,22,425,447
812,87,13,431,15,446
813,87,15,431,15,446
814,83,16,427,19,446
815,87,17,431,15,446
816,73,19,423,23,446
817,74,23,399,47,446
818,69,30,360,86,446
819,92,32,374,72,446
820,108,47,262,184,446
821,153,67,49,397,446
822,153,70,49,397,446
823,164,75,21,425,446
824,158,84,26,420,446
825,151,90,64,382,446
826,166,76,31,415,446
827,167,75,21,425,446
828,168,87,15,431,446
829,170,83,19,427,446
830,171,75,21,425,446
831,172,87,15,431,446
832,76,18,415,30,445
833,78,19,422,23,445
834,88,27,382,63,445
835,90,27,382,63,445
836,89,28,377,68,445
837,91,31,358,87,445
838,96,31,358,87,445
839,99,33,349,96,445
840,105,40,310,135,445
841,128,58,134,311,445
842,155,67,48,397,445
843,155,70,48,397,445
844,162,73,22,423,445
845,150,85,44,401,445
846,149,90,63,382,445
847,138,93,70,375,445
848,135,95,96,349,445
849,135,99,96,349,445
850,137,99,96,349,445
851,75,16,425,19,444
852,72,22,404,40,444
853,67,23,397,47,444
854,91,30,358,86,444
855,100,31,357,87,444
856,105,38,310,134,444
857,136,66,93,351,444
858,164,73,21,423,444
859,148,74,45,399,444
860,161,76,29,415,444
861,162,78,22,422,444
862,162,80,22,422,444
863,124,102,154,290,444
864,167,73,21,423,444
865,170,75,19,425,444
866,82,19,420,23,443
867,84,19,420,23,443
868,76,20,415,28,443
869,71,22,403,40,443
870,81,24,390,53,443
871,93,28,375,68,443
872,86,30,357,86,443
873,65,31,356,87,443
874,63,34,343,100,443
875,57,38,309,134,443
876,128,57,134,309,443
877,157,72,39,404,443
878,164,80,21,422,443
879,87,9,431,12,443
880,167,78,21,422,443
881,167,80,21,422,443
882,171,80,21,422,443
883,173,87,12,431,443
884,174,87,12,431,443
885,83,13,427,15,442
886,87,14,431,11,442
887,83,15,427,15,442
888,73,16,423,19,442
889,83,17,427,15,442
890,81,25,390,52,442
891,92,28,374,68,442
892,102,42,290,152,442
893,111,44,249,193,442
894,148,67,45,397,442
895,148,70,45,397,442
896,154,77,50,392,442
897,162,82,22,420,442
898,136,99,93,349,442
899,168,83,15,427,442
900,169,75,17,425,442
901,172,83,15,427,442
902,180,87,11,431,442
903,80,16,422,19,441
904,85,22,401,40,441
905,94,22,401,40,441
906,88,26,382,59,441
907,90,26,382,59,441
908,132,61,115,326,441
909,150,70,44,397,441
910,153,77,49,392,441
911,87,8,431,10,441
912,87,10,431,10,441
913,146,88,59,382,441
914,151,89,64,377,441
915,117,113,207,234,441
916,167,82,21,420,441
917,170,78,19,422,441
918,170,80,19,422,441
919,171,84,21,420,441
920,175,83,14,427,441
921,177,87,10,431,441
922,75,13,425,15,440
923,75,15,425,15,440
924,75,17,425,15,440
925,89,27,377,63,440
926,98,31,353,87,440
927,62,32,368,72,440
928,139,68,78,362,440
929,159,85,39,401,440
930,140,91,82,358,440
931,159,94,39,401,440
932,140,96,82,358,440
933,168,75,15,425,440
934,169,73,17,423,440
935,172,75,15,425,440
936,184,87,9,431,440
937,82,16,420,19,439
938,84,16,420,19,439
939,74,22,399,40,439
940,77,23,392,47,439
941,143,62,71,368,439
942,137,63,96,343,439
943,141,68,77,362,439
944,160,72,35,404,439
945,83,9,427,12,439
946,169,80,17,422,439
947,170,82,19,420,439
948,170,84,19,420,439
949,173,83,12,427,439
950,174,83,12,427,439
951,175,75,14,425,439
952,181,87,8,431,439
953,182,87,8,431,439
954,185,87,8,431,439
955,83,14,427,11,438
956,73,15,423,15,438
957,76,19,415,23,438
958,112,46,237,201,438
959,119,48,211,227,438
960,160,71,35,403,438
961,163,72,34,404,438
962,157,74,39,399,438
963,155,81,48,390,438
964,156,81,48,390,438
965,151,92,64,374,438
966,149,93,63,375,438
967,129,106,142,296,438
968,168,73,15,423,438
969,176,87,7,431,438
970,178,87,7,431,438
971,180,83,11,427,438
972,187,87,7,431,438
973,189,87,7,431,438
974,78,13,422,15,437
975,78,15,422,15,437
976,80,15,422,15,437
977,67,22,397,40,437
978,70,22,397,40,437
979,81,23,390,47,437
980,92,27,374,63,437
981,66,30,351,86,437
982,133,58,126,311,437
983,152,72,33,404,437
984,75,9,425,12,437
985,162,76,22,415,437
986,148,77,45,392,437
987,83,8,427,10,437
988,83,10,427,10,437
989,87,11,431,6,437
990,168,78,15,422,437
991,168,80,15,422,437
992,169,82,17,420,437
993,169,84,17,420,437
994,172,78,15,422,437
995,172,80,15,422,437
996,173,75,12,425,437
997,174,75,12,425,437
998,175,73,14,423,437
999,188,87,6,431,437
1000,75,14,425,11,436
1001,89,26,377,59,436
1002,62,28,368,68,436
1003,68,29,362,74,436
1004,105,37,310,126,436
1005,145,62,68,368,436
1006,157,67,39,397,436
1007,157,70,39,397,436
1008,159,70,39,397,436
1009,164,76,21,415,436
1010,87,12,431,5,436
1011,142,93,61,375,436
1012,160,94,35,401,436
1013,139,96,78,358,436
1014,167,76,21,415,436
1015,171,76,21,415,436
1016,175,78,14,422,436
1017,179,83,9,427,436
1018,180,75,11,425,436
1019,183,87,5,431,436
1020,184,83,9,427,436
1021,82,13,420,15,435
1022,84,13,420,15,435
1023,84,15,420,15,435
1024,82,17,420,15,435
1025,84,17,420,15,435
1026,90,24,382,53,435
1027,99,30,349,86,435
1028,59,41,276,159,435
1029,73,9,423,12,435
1030,75,10,425,10,435
1031,148,81,45,390,435
1032,163,85,34,401,435
1033,87,6,431,4,435
1034,87,7,431,4,435
1035,163,94,34,401,435
1036,141,96,77,358,435
1037,140,98,82,353,435
1038,168,82,15,420,435
1039,168,84,15,420,435
1040,172,82,15,420,435
1041,174,73,12,423,435
1042,177,75,10,425,435
1043,181,83,8,427,435
1044,190,87,4,431,435
1045,195,87,4,431,435
1046,199,87,4,431,435
1047,73,14,423,11,434
1048,76,16,415,19,434
1049,88,25,382,52,434
1050,90,25,382,52,434
1051,93,26,375,59,434
1052,68,32,362,72,434
1053,104,33,338,96,434
1054,106,39,296,138,434
1055,107,42,282,152,434
1056,51,43,263,171,434
1057,78,9,422,12,434
1058,80,9,422,12,434
1059,141,86,77,357,434
1060,87,2,431,3,434
1061,146,93,59,375,434
1062,127,107,152,282,434
1063,166,71,31,403,434
1064,170,76,19,415,434
1065,173,78,12,422,434
1066,173,80,12,422,434
1067,174,78,12,422,434
1068,174,80,12,422,434
1069,175,82,14,420,434
1070,175,84,14,420,434
1071,176,83,7,427,434
1072,178,83,7,427,434
1073,179,75,9,425,434
1074,180,73,11,423,434
1075,184,75,9,425,434
1076,187,83,7,427,434
1077,191,87,3,431,434
1078,192,87,3,431,434
1079,198,87,3,431,434
1080,211,87,3,431,434
1081,78,14,422,11,433
1082,80,14,422,11,433
1083,71,18,403,30,433
1084,105,36,310,123,433
1085,108,43,262,171,433
1086,111,47,249,184,433
1087,130,56,104,329,433
1088,136,64,93,340,433
1089,141,65,77,356,433
1090,143,68,71,362,433
1091,161,72,29,404,433
1092,73,8,423,10,433
1093,73,10,423,10,433
1094,83,11,427,6,433
1095,87,3,431,2,433
1096,147,88,51,382,433
1097,146,92,59,374,433
1098,130,101,104,329,433
1099,118,113,199,234,433
1100,177,73,10,423,433
1101,180,78,11,422,433
1102,181,75,8,425,433
1103,182,75,8,425,433
1104,185,75,8,425,433
1105,186,87,2,431,433
1106,188,83,6,427,433
1107,193,87,2,431,433
1108,194,87,2,431,433
1109,196,87,2,431,433
1110,197,87,2,431,433
1111,200,87,2,431,433
1112,201,87,2,431,433
1113,204,87,2,431,433
1114,222,87,2,431,433
1115,71,21,403,29,432
1116,77,22,392,40,432
1117,96,29,358,74,432
1118,69,32,360,72,432
1119,97,35,333,99,432
1120,134,61,106,326,432
1121,151,62,64,368,432
1122,160,67,35,397,432
1123,138,68,70,362,432
1124,160,70,35,397,432
1125,161,71,29,403,432
1126,78,8,422,10,432
1127,78,10,422,10,432
1128,80,8,422,10,432
1129,80,10,422,10,432
1130,82,9,420,12,432
1131,83,12,427,5,432
1132,84,9,420,12,432
1133,87,1,431,1,432
1134,87,5,431,1,432
1135,154,90,50,382,432
1136,165,72,28,404,432
1137,166,85,31,401,432
1138,166,94,31,401,432
1139,169,76,17,415,432
1140,173,82,12,420,432
1141,173,84,12,420,432
1142,174,82,12,420,432
1143,174,84,12,420,432
1144,176,75,7,425,432
1145,177,78,10,422,432
1146,177,80,10,422,432
1147,178,75,7,425,432
1148,179,73,9,423,432
1149,183,83,5,427,432
1150,184,73,9,423,432
1151,187,75,7,425,432
