"","x"
"377",27845.4241117973
"378",26888.6329409115
"379",18368.5899923105
"380",20303.9419923537
"381",16856.4027591726
"382",29202.7816133411
"383",23389.189218801
"384",37924.0843338684
"385",27077.1457039143
"386",23502.5184324756
"387",19452.9538404025
"388",17009.2633649287
"389",30061.6866127271
"390",34908.1342165805
"391",21784.6295847241
"392",32369.5489382499
"393",28196.20751052
"394",31591.1956821649
"395",25853.2698917883
"396",19347.5690877768
"397",31856.4686635405
"398",33576.7907572772
"399",35029.0699480073
"400",16764.4772412112
"401",32909.8236681919
"402",30530.9266958445
"403",21527.8450123191
"404",15379.7074084489
"405",15217.5278334985
"406",11964.4072337905
"407",23349.458525403
"408",32450.889426561
"409",20442.6371686801
"410",21420.2175444686
"411",33217.7948605629
"412",30965.1636380814
"413",26266.6599727302
"414",32603.5597478875
"415",20610.9614659651
"416",33753.7699211716
"417",26897.6402691962
"418",35191.5868105007
"419",24750.1747194261
"420",34582.9847620963
"421",21198.540205167
"422",31184.7785102176
"423",36147.1842880626
"424",23247.8820951988
"425",24048.4208595588
"426",24575.7586104564
"427",37986.4287373549
"428",32093.2990754601
"429",26050.8738591995
"430",36015.2142822456
"431",34687.2801482926
"432",18219.0787254151
"433",25246.360378286
"434",33147.3383711744
"435",21223.7382962286
"436",29806.2914040895
"437",35783.2710503929
"438",35002.7526055601
"439",21047.759760084
"440",36150.4292448588
"441",34658.9545562698
"442",27555.2580339554
"443",30189.9494834739
"444",24642.5101291167
"445",24804.2827225598
"446",23256.0950221834
"447",32801.525917429
"448",30149.9290856955
"449",30821.8429693963
"450",32451.2866146689
"451",17722.1103300918
"452",29350.9472653684
"453",35962.814932725
"454",17108.4029065066
"455",25633.8460974442
"456",29233.8667014543
"457",11556.32182924
"458",12621.9276287869
"459",31757.6820295156
"460",16956.590333744
"461",30281.7063356546
"462",30112.8736785182
"463",28443.0912974238
"464",22522.5913914191
"465",32935.7602830095
"466",39662.8475812105
"467",22965.3938076928
"468",28984.0922181777
"469",36182.9378382532
"470",36327.3660373225
"471",27930.9658369573
"472",32859.6600952526
"473",38607.2161897092
"474",36039.5130828943
"475",22990.4638246493
"476",29238.8886583346
"477",36335.7423783845
"478",31056.4538846579
"479",32716.2617779583
"480",24051.8473660038
"481",29332.0654490393
"482",34904.7723020785
"483",31603.1523247687
"484",28702.4325744753
"485",22510.4242399324
"486",19118.4720164836
"487",16511.9589455168
"488",29870.8420027602
"489",19297.186862011
"490",29297.8396493175
"491",31344.7157746259
"492",13822.5935609926
"493",34450.5768137482
"494",17368.9340176906
"495",28858.4668230453
"496",20295.2877953807
"497",29797.2694756931
"498",25615.9050508211
"499",23615.4118036349
"500",39652.0147509969
"501",21794.575663187
"502",25326.6371040418
"503",33432.8371671144
"504",27680.8796416178
"505",25985.7694558696
"506",34008.9801644686
"507",26222.0379741799
"508",27558.5204512955
"509",22774.5334523962
"510",13410.1937090467
"511",20728.35282587
"512",25425.5896795322
"513",22817.6624259024
"514",36270.7033515198
"515",32890.5288815059
"516",31032.129497675
"517",36113.2296005444
"518",20712.1929831797
"519",26119.4654821202
"520",25738.824497453
"521",36543.005488486
"522",35066.7228033149
"523",37351.9657570491
"524",12365.5703626952
"525",32108.5813447709
"526",19393.3619296945
"527",25264.8554761865
"528",31779.2937511677
"529",31613.4989640639
"530",33582.2222876778
"531",21885.4538182727
"532",34059.1142805483
"533",23006.2623584811
"534",24464.3616753622
"535",38063.0512452949
"536",33013.1268591647
"537",28983.93266609
"538",10373.9905493247
"539",18461.2586444675
"540",15689.0407565791
"541",37605.113205564
"542",11963.4969470494
"543",12975.3939660212
"544",20504.9201554047
"545",20703.1197283901
"546",35397.8700632204
"547",24528.4393948877
"548",22077.4117121002
"549",22102.7358400739
"550",26046.8300652444
"551",31581.0392830054
"552",25535.9079044043
"553",25061.3255933608
"554",34232.7301293604
"555",31663.2474875183
"556",35491.9031567901
"557",32645.0154027904
"558",36387.8336207017
"559",31234.475454336
"560",19566.6510610852
"561",34909.0241512013
"562",19291.4655333677
"563",32490.7793420154
"564",15762.814619475
"565",22053.2038758365
"566",27960.0328638694
"567",16365.3819716613
"568",18996.0912564117
"569",15298.4831009052
"570",29487.1722051585
"571",23309.0480147819
"572",27975.5340884164
"573",18176.0574346576
"574",32313.4122201421
"575",23347.042058308
"576",30323.8679214595
"577",27576.0837244461
"578",15706.7178693183
"579",32165.0704671275
"580",32214.9028635562
"581",35845.0407247478
"582",24706.2580157264
"583",22119.4250143055
"584",26113.6222942959
"585",36334.9016146762
"586",15640.2957219091
"587",27815.0856631787
"588",32751.4745640074
"589",20547.6929111333
"590",18951.0961592931
"591",31924.959412172
"592",16403.2714957728
"593",28898.5932055641
"594",13016.5161586783
"595",33659.6265318933
"596",12700.3602551057
"597",16368.5761831102
"598",26760.4554481881
"599",30241.1529840138
"600",36038.6014379113
"601",34900.6542474082
"602",13200.0444974115
"603",22904.3469970258
"604",23677.7156575517
"605",34797.8576412931
"606",28184.8501014416
"607",30667.6565941296
"608",36839.693477603
"609",35143.6668345993
"610",33209.5073772439
"611",27296.8115725935
"612",24815.8212293285
"613",28933.1705738554
"614",36015.4008642382
"615",19829.4801128125
"616",31594.4304801102
"617",36251.6742156336
"618",17294.7908378449
"619",12206.5639217737
"620",26456.8807904634
"621",23269.0375015325
"622",30860.2610385012
"623",31376.6171144934
"624",27601.9001041969
"625",32086.2434698429
"626",26011.2472120245
"627",35996.6538306873
"628",20138.3026845199
"629",37501.3300934287
"630",33078.2559757783
"631",37165.752473361
"632",38142.1574360999
"633",16595.222607703
"634",32064.4543209258
"635",32673.3827053883
"636",30399.9975386057
"637",36870.1279943925
"638",29463.9307691841
"639",37382.2036661199
"640",26424.9154829727
"641",15735.9556126619
"642",24564.4989705179
"643",33585.4901588385
"644",35038.5730809903
"645",22713.7613387986
"646",35886.9325357267
"647",18882.9559447165
"648",33847.8148475958
"649",23869.6643078381
"650",34653.9832118902
"651",15649.6871755913
"652",22021.9598833095
"653",21253.1962862067
"654",34734.0708440791
"655",29926.9236157434
"656",14146.3075064101
"657",30225.5618113909
"658",16461.5181834319
"659",27995.9179030404
"660",31838.0704297021
"661",35535.1950358376
"662",26147.6589916353
"663",35416.7253562546
"664",38855.7690830449
"665",26452.5692128625
"666",30935.1937671863
"667",28517.2125702711
"668",23147.4334814851
"669",29837.8295209537
"670",26422.5463032144
"671",37386.5177050861
"672",14024.3155690583
"673",25875.4756021264
"674",20462.6422753634
"675",29394.4090734192
"676",31192.2819066999
"677",15303.8419549443
"678",22847.793086382
"679",23264.5713695213
"680",15209.1360131987
"681",31088.6971980276
"682",28605.613738431
"683",37360.7459272336
"684",24563.45887487
"685",26959.2119635547
"686",26026.4520676065
"687",17677.496574158
"688",31138.4690190139
"689",35155.8388180223
"690",26582.1038285234
"691",35811.0059106877
"692",36261.6439069046
"693",23267.7027000076
"694",11968.4229219586
"695",21370.6941387227
"696",37935.1170870685
"697",15241.8045977392
"698",15533.5303845637
"699",22169.1575651617
"700",31879.6536789858
"701",15356.2129578552
"702",26641.7555744658
"703",12625.377688013
"704",36106.1127228078
"705",33833.6181684655
"706",39738.7781208614
"707",32699.5805710763
"708",26078.7290935038
"709",13242.6746861944
"710",19340.0160042818
"711",22456.2593955493
"712",34522.6248614346
"713",20947.6316221682
"714",24444.3928921004
"715",31596.0053732889
"716",18941.9494449057
"717",15935.4173693153
"718",19507.6441969454
"719",26835.0151763625
"720",16621.7952683991
"721",32144.7431905918
"722",37777.498038283
"723",32905.0669302194
"724",21448.8810228623
"725",24889.3475790636
"726",34425.22331613
"727",30820.729043685
"728",23123.0104254814
"729",31050.806562401
"730",24671.0917021454
"731",29383.2741010739
"732",31417.5433282361
"733",24912.5958701463
"734",35069.1701802637
"735",29470.556989276
"736",34402.8255896896
"737",25536.3038211841
"738",21222.6192713193
"739",26713.5107291362
"740",23887.850815085
"741",36851.9242293272
"742",22925.484629574
"743",29306.1110077345
"744",21764.4708769891
"745",24052.4718902966
"746",38022.5398449505
"747",21427.5459695723
"748",35093.4432496667
"749",25191.7721808435
"750",25862.9531239634
"751",31274.5342521443
"752",23943.841036376
"753",28004.4062139858
"754",34454.437224983
"755",27837.6465948994
"756",23762.0540801311
"757",24528.3592691135
"758",17890.5828141428
"759",31722.3007006512
"760",26671.8193542969
"761",23722.2441462955
"762",18863.6170395183
"763",15218.0594149465
"764",33751.5692311626
"765",22753.8985271607
"766",27809.0015876994
"767",33184.8724704333
"768",30530.1604126586
"769",26725.0011194849
"770",19045.5347218904
"771",22423.7282881729
"772",14976.0121088746
"773",29110.0664138972
"774",23738.8495740956
"775",24867.1645002808
"776",30978.4497380062
"777",34835.8415914981
"778",24308.2184097164
"779",19250.0643416629
"780",25020.2081094898
"781",32195.9132184231
"782",18295.7172986522
"783",31846.7394080294
"784",18211.5150822165
"785",30176.0679903475
"786",21687.9084100348
"787",31153.1419546222
"788",19570.9895298388
"789",23389.5224733075
"790",28612.0907896258
"791",22340.0669898785
"792",33861.349360269
"793",33493.1846046668
"794",25706.6034561105
"795",35682.8488704014
"796",32964.9471045784
"797",31240.7483173332
"798",15794.4866201735
"799",36648.0183736843
"800",32707.0612486134
"801",17672.4184449677
"802",18090.8633133692
"803",34230.3279216674
"804",39000.4402143456
"805",26157.6451767718
"806",22377.5020284928
"807",27254.3164550602
"808",30092.694315306
"809",34873.0300069998
"810",32957.1001589943
"811",24301.6200280804
"812",14656.1388551785
"813",26998.5945539394
"814",36377.7729378532
"815",20937.2721851656
"816",33222.7671039303
"817",23114.9707274262
"818",31005.1866716397
"819",33607.0193004833
"820",17192.7155814818
"821",34476.6825812737
"822",35040.9993756671
"823",38220.5381177002
"824",34807.324902272
"825",38677.0584842003
"826",21418.1757141679
"827",28381.8644694816
"828",25621.4726287195
"829",22580.483911052
"830",35082.7552325848
"831",20892.1517395166
"832",24349.9691478097
"833",28934.8760697358
"834",14133.8398052147
"835",16719.4273821081
"836",35739.2826955169
"837",28797.2666409152
"838",17157.0752293148
"839",29711.1760216139
"840",26896.250089658
"841",29481.16062284
"842",34458.9154779795
"843",34563.1058843317
"844",31214.1185003898
"845",28938.6673020865
"846",31899.8883201408
"847",34163.1507132962
"848",34563.2879339581
"849",26555.993286348
"850",25764.6158902727
"851",29853.6297458583
"852",19087.4640920986
"853",16916.3161760341
"854",15708.5153777779
"855",17762.1087595453
"856",27028.7626998833
"857",27207.3447160457
"858",25128.6023512914
"859",18417.0766321717
"860",28768.3335812641
"861",24269.8095907883
"862",12026.3193955268
"863",20283.4312127884
"864",38293.007000152
"865",35909.6487256946
"866",30379.8738897809
"867",21054.1844776483
"868",23491.9117961987
"869",31807.9436969091
"870",28577.1599569098
"871",33772.0740801342
"872",30210.9773774089
"873",34626.6047204165
"874",24120.9984894229
"875",19034.375680784
"876",33361.9577148209
"877",15611.3415833695
"878",19698.2083045798
"879",38068.793155456
"880",32782.5228737553
"881",33285.612085624
"882",34838.6139207698
"883",34668.3012076362
"884",15745.0594629905
"885",22481.5914478463
"886",24346.6388984392
"887",24578.4805163679
"888",32168.6159920127
"889",15459.3968823582
"890",20507.4379875309
"891",30804.1279914405
"892",30657.9660473418
"893",36071.8403570074
"894",15960.3807511778
"895",36928.1871063098
"896",36891.7503884202
"897",21951.2179668769
"898",22886.2352658195
"899",33845.6445239191
"900",19314.0471119491
"901",36371.5236990204
"902",33162.8183384358
"903",24853.9560206231
"904",30565.8979706158
"905",36605.1299733389
"906",17171.1396755952
"907",21054.9154027623
"908",18206.0909381949
"909",36899.1744121023
"910",14930.9797217747
"911",12412.2433435511
"912",29501.155208723
"913",29342.3812426735
"914",24524.9951763208
"915",35512.068264447
"916",39395.1746032564
"917",32629.2380399288
"918",19090.9412439594
"919",13249.5516724998
"920",31004.3861240107
"921",19346.0825617392
"922",26709.9672579163
"923",33879.6381456237
"924",33537.7191275356
"925",29843.8715716605
"926",14270.0230152739
"927",32807.1259644954
"928",30364.5254829428
"929",21381.6771623359
"930",12555.3885051142
"931",20873.8181319639
"932",30302.5555524657
"933",27727.6959137041
"934",35149.9831532082
"935",27907.1914325185
"936",29529.4725820472
"937",14043.274009971
"938",31108.3644873265
"939",34577.4117159548
"940",26463.3680788545
"941",30602.9579589639
"942",26827.2069511698
"943",30004.458654442
"944",31410.1123645464
"945",28990.8583219421
"946",31111.0415745018
"947",38462.5068060742
"948",21854.3358133256
"949",16704.3133218013
"950",26680.963444421
"951",21660.7571148849
"952",30372.6333175487
"953",23439.8499896947
"954",35658.8316240168
"955",25188.7710336583
"956",23088.0840395157
"957",15790.7687713565
"958",23017.8857156671
"959",34543.5981854331
"960",26189.6798647825
"961",23034.7470070489
"962",36764.8744415072
"963",23674.3575638401
"964",23954.0302040422
"965",27618.8010679875
"966",18788.5641791304
"967",24065.966912978
"968",18472.5709993174
"969",22124.3506219777
"970",26336.058910144
"971",33059.8094054378
"972",23487.716272221
"973",29255.7883337945
"974",35146.3484906901
"975",17238.9846854959
"976",23299.8834363652
"977",20001.5604895972
"978",24308.6737410412
"979",22798.3852474614
"980",33706.7704768888
"981",14357.9597503089
"982",22427.8903291687
"983",30087.2291810054
"984",35620.7966457539
"985",20700.3470292002
"986",36782.1036803555
"987",22684.060425597
"988",26739.581456201
"989",29036.9759586107
"990",32667.4673063477
"991",29284.4536928719
"992",21700.2361352449
"993",28270.0547942392
"994",32893.2717636962
"995",28050.2628055448
"996",38306.4938233024
"997",35520.9291657196
"998",22675.0048700003
"999",29730.616789702
"1000",34199.1189231666
