"player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg"
10741,"Donald","Dickie",NA,NA
11558,"Brad","Dick",NA,NA
12050,"Tory","Dickson",184,90
12351,"Matthew","Dick",NA,NA
